Date,Location,Site,Habitat,Transect,cca,dead_coral,algal_matrix,hard_coral,macroalgae,other_biota,rubble,rock,sand,soft_coral,silt,sponge,zooantharia
1993,Singapore,H2,Crest,2,0.0,0.0,8.3,61.0,0.0,13.3,6.4,0.0,0.7,0.0,0.0,10.6,0.0
1993,Singapore,H2,Crest,3,0.0,0.0,18.0,28.4,6.6,0.0,23.2,0.0,10.9,0.0,0.0,5.9,7.2
1993,Singapore,H2,Crest,4,0.0,0.3,30.2,27.8,5.1,0.0,29.2,0.0,0.0,0.7,0.0,3.4,3.5
1993,Singapore,H2,Crest,5,0.0,0.0,12.4,24.5,8.5,0.0,46.7,0.0,0.0,0.0,0.0,7.2,0.9
1993,Singapore,HW1,Crest,1,0.0,0.0,22.2,50.4,15.7,1.6,3.1,0.0,1.7,0.0,0.0,5.5,0.0
1993,Singapore,HW1,Crest,2,0.0,0.0,17.4,41.8,5.4,0.0,21.3,0.0,1.1,0.0,0.0,13.0,0.0
1993,Singapore,HW1,Crest,3,0.0,0.0,12.8,57.6,16.4,0.9,7.5,0.0,0.0,0.0,0.0,4.9,0.0
1993,Singapore,HW1,Crest,4,0.0,0.0,23.7,10.7,7.0,0.0,46.0,0.0,0.0,0.0,4.6,8.2,0.0
1993,Singapore,HW1,Crest,5,0.0,0.0,27.5,47.7,1.3,0.6,17.9,0.0,1.4,0.0,0.0,3.7,0.0
1993,Singapore,HW2,Crest,1,0.0,0.0,13.6,78.6,0.0,6.5,1.2,0.0,0.0,0.0,0.0,0.0,0.3
1993,Singapore,HW2,Crest,2,0.0,0.0,26.6,67.3,0.0,5.3,0.0,0.0,0.0,0.0,0.0,0.2,0.7
1993,Singapore,HW2,Crest,3,0.0,0.0,17.7,75.9,0.0,3.5,1.8,0.0,0.0,0.0,0.0,0.0,1.1
1993,Singapore,HW2,Crest,4,0.0,0.0,12.3,30.1,1.9,9.4,45.7,0.0,0.8,0.0,0.0,0.0,0.0
1993,Singapore,HW2,Crest,5,0.0,0.0,19.6,56.2,0.0,8.5,15.8,0.0,0.0,0.0,0.0,0.0,0.0
1993,Singapore,L2,Crest,1,0.0,0.0,31.2,24.9,5.4,0.5,32.7,0.0,4.9,0.0,0.0,0.6,0.0
1993,Singapore,L2,Crest,2,0.0,0.0,9.4,1.6,14.5,0.0,19.4,0.0,53.9,0.0,0.0,1.4,0.0
1993,Singapore,L2,Crest,3,0.0,0.0,36.3,20.5,0.9,0.0,42.3,0.0,0.0,0.0,0.0,0.0,0.0
1993,Singapore,L2,Crest,4,0.0,0.0,30.3,38.4,10.3,0.0,21.1,0.0,0.0,0.0,0.0,0.1,0.0
1993,Singapore,L2,Crest,5,0.0,0.0,20.8,22.8,26.6,0.6,28.3,0.0,0.0,0.0,0.0,1.0,0.0
1993,Singapore,L4,Crest,1,0.0,0.0,9.9,26.8,2.2,3.0,53.1,0.0,0.0,0.0,0.0,4.2,1.0
1993,Singapore,L4,Crest,2,0.0,0.0,14.5,1.2,2.5,0.0,81.3,0.0,0.6,0.0,0.0,0.0,0.0
1993,Singapore,L4,Crest,3,0.0,0.0,20.4,0.0,6.0,0.3,46.7,0.0,25.5,0.0,1.3,0.0,0.0
1993,Singapore,L4,Crest,4,0.0,0.0,11.8,6.4,0.0,0.3,45.8,0.0,17.4,17.8,0.0,0.7,0.0
1993,Singapore,L4,Crest,5,0.0,0.0,13.5,1.3,2.1,0.0,45.0,0.0,25.1,13.1,0.0,0.0,0.0
1993,Singapore,R1,Crest,1,0.0,0.0,11.7,85.1,0.0,0.8,1.7,0.0,0.0,0.0,0.0,0.8,0.0
1993,Singapore,R1,Crest,2,0.0,0.0,19.6,63.1,0.0,0.0,9.6,0.0,3.8,2.4,0.0,1.6,0.0
1993,Singapore,R1,Crest,3,0.0,0.0,18.0,68.5,0.0,0.4,6.0,0.0,0.0,0.0,0.0,4.5,2.6
1993,Singapore,R1,Crest,4,0.0,0.0,14.2,71.8,0.0,7.3,3.6,0.0,0.0,1.3,0.0,2.0,0.0
1993,Singapore,R1,Crest,5,0.0,0.0,15.9,78.6,0.0,0.5,2.5,0.0,0.0,0.0,0.0,2.6,0.0
1993,Singapore,R2,Crest,1,0.0,0.0,37.3,61.1,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.4,0.0
1993,Singapore,R2,Crest,2,0.0,0.0,22.5,65.8,0.0,1.0,4.5,0.0,0.0,0.0,1.5,4.8,0.0
1993,Singapore,R2,Crest,3,0.0,0.0,11.5,79.1,0.0,0.6,6.8,0.0,0.0,0.0,0.0,1.5,0.7
1993,Singapore,R2,Crest,4,0.0,0.0,12.1,87.6,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993,Singapore,R2,Crest,5,0.0,6.8,7.3,82.4,0.0,1.0,0.0,0.0,1.9,0.0,0.0,0.7,0.0
1993,Singapore,S1,Crest,1,0.0,0.0,2.7,26.6,37.6,0.0,27.0,0.0,0.0,0.0,4.5,1.8,0.0
1993,Singapore,S1,Crest,2,0.0,0.0,5.9,4.8,73.1,0.0,16.3,0.0,0.0,0.0,0.0,0.0,0.0
1993,Singapore,S1,Crest,3,0.0,0.0,1.0,7.0,73.1,0.0,16.8,0.0,0.0,0.0,0.0,0.0,2.2
1993,Singapore,S1,Crest,4,0.0,0.0,1.4,0.0,82.3,0.0,11.9,0.0,0.0,0.0,4.6,0.0,0.0
1993,Singapore,S1,Crest,5,0.0,0.0,0.8,6.0,89.7,0.0,2.3,0.0,0.0,0.5,0.0,0.8,0.0
1993,Singapore,S2,Crest,1,0.0,0.0,19.3,64.2,7.7,4.7,2.6,0.0,0.0,0.0,0.0,0.0,1.7
1993,Singapore,S2,Crest,2,0.0,0.0,16.5,64.2,9.5,2.8,1.0,0.0,0.0,3.4,0.0,2.9,0.0
1993,Singapore,S2,Crest,3,0.0,0.0,23.6,38.6,3.7,6.6,17.8,0.0,0.0,2.0,0.7,6.7,0.5
1993,Singapore,S2,Crest,4,0.0,0.0,24.6,58.8,0.0,5.5,7.9,0.0,0.0,0.0,0.0,3.4,0.0
1993,Singapore,S2,Crest,5,0.0,0.0,18.3,55.8,2.2,2.6,18.2,0.0,0.0,1.7,0.0,1.4,0.0
1998,Singapore,H1,Crest,1,4.4,0.0,26.6,20.3,21.9,0.8,16.1,0.0,5.7,0.0,0.0,3.6,0.8
1998,Singapore,H1,Crest,2,0.0,0.0,51.4,21.6,20.4,2.6,1.0,0.0,0.0,0.0,2.6,0.6,0.0
1998,Singapore,H1,Crest,3,18.5,0.0,30.0,5.6,13.7,0.0,31.6,0.0,0.0,0.0,0.0,0.7,0.0
1998,Singapore,H1,Crest,4,0.0,0.0,43.8,2.7,7.8,22.6,13.4,0.0,1.4,0.0,5.7,2.8,0.0
1998,Singapore,H1,Crest,5,0.0,0.0,26.0,0.9,28.7,0.5,40.0,0.0,0.5,0.0,0.0,3.6,0.0
1998,Singapore,H2,Crest,1,0.0,0.0,32.0,46.1,9.9,1.3,6.5,0.0,2.8,0.0,0.0,1.5,0.0
1998,Singapore,H2,Crest,2,0.0,0.0,13.9,33.1,27.7,3.8,4.7,0.0,2.6,2.6,7.9,3.9,0.0
1998,Singapore,H2,Crest,3,0.0,0.0,20.8,28.6,23.1,0.0,20.5,0.0,1.5,0.0,0.0,4.3,1.4
1998,Singapore,H2,Crest,4,0.0,0.0,20.5,45.5,12.1,3.8,11.4,0.0,0.0,0.0,1.8,4.5,0.6
1998,Singapore,H2,Crest,5,0.3,0.0,14.5,74.0,4.5,1.9,2.5,0.0,0.0,0.0,0.0,2.1,0.4
1998,Singapore,HW1,Crest,1,0.0,0.0,28.5,23.2,17.7,5.1,16.4,0.0,5.5,0.0,0.0,3.7,0.0
1998,Singapore,HW1,Crest,2,0.0,0.0,14.1,13.4,15.4,2.2,44.6,0.0,7.1,0.0,0.0,3.3,0.0
1998,Singapore,HW1,Crest,3,0.4,0.0,30.0,14.4,22.9,2.7,23.5,0.0,5.6,0.0,0.0,0.7,0.0
1998,Singapore,HW1,Crest,4,0.0,0.0,41.2,26.8,9.1,1.2,11.4,0.0,4.9,0.0,0.6,4.7,0.3
1998,Singapore,HW1,Crest,5,0.0,0.0,29.2,21.1,20.9,0.0,16.0,0.0,2.9,0.0,6.8,3.2,0.0
1998,Singapore,L2,Crest,1,0.0,0.0,36.4,23.1,5.1,0.3,26.9,0.0,1.2,0.0,0.3,6.9,0.0
1998,Singapore,L2,Crest,2,0.0,0.0,43.7,24.6,4.9,0.5,22.9,0.0,0.0,0.0,0.7,2.9,0.0
1998,Singapore,L2,Crest,3,0.4,0.0,34.2,16.6,8.0,7.2,32.3,0.0,0.0,0.0,0.6,0.9,0.0
1998,Singapore,L2,Crest,4,0.0,0.0,38.2,19.2,8.0,0.0,28.5,0.0,0.0,0.3,0.0,5.9,0.0
1998,Singapore,L2,Crest,5,0.0,0.0,25.1,24.8,1.4,0.4,47.2,0.0,0.0,0.0,0.0,1.2,0.0
1998,Singapore,L4,Crest,1,0.0,0.0,14.8,0.0,13.3,6.6,12.7,0.0,47.1,5.6,0.0,0.0,0.0
1998,Singapore,L4,Crest,2,0.0,0.0,16.1,0.3,23.8,2.8,10.1,0.0,39.9,6.8,0.0,0.5,0.0
1998,Singapore,L4,Crest,3,0.0,0.0,8.9,0.9,13.4,2.6,0.7,0.0,63.8,8.2,0.0,0.6,1.1
1998,Singapore,L4,Crest,4,0.0,0.0,12.6,0.0,8.5,0.7,1.7,0.0,69.5,6.9,0.0,0.3,0.0
1998,Singapore,L4,Crest,5,0.0,0.0,9.8,0.0,6.2,0.0,0.0,0.0,75.9,8.3,0.0,0.0,0.0
1998,Singapore,R1,Crest,1,1.3,0.0,40.4,31.3,3.2,0.4,15.3,0.0,2.0,0.0,0.0,4.8,1.6
1998,Singapore,R1,Crest,2,0.0,0.0,25.1,45.4,3.2,4.4,19.2,0.0,0.0,0.6,0.0,1.7,0.6
1998,Singapore,R1,Crest,3,0.0,0.0,19.9,62.6,0.7,0.3,16.0,0.0,0.0,0.0,0.0,0.7,0.0
1998,Singapore,R1,Crest,4,0.0,0.0,29.0,51.7,0.0,5.4,11.6,0.0,0.0,0.0,0.0,2.4,0.0
1998,Singapore,R1,Crest,5,0.0,0.0,25.2,51.2,7.8,5.3,6.9,0.0,0.0,0.0,1.5,2.2,0.0
1998,Singapore,H2,Crest,1,0.0,0.0,10.2,31.0,39.8,3.1,16.0,0.0,0.0,0.0,0.0,0.0,0.0
1998,Singapore,H2,Crest,2,0.0,0.0,5.2,30.1,35.2,1.5,23.9,0.0,0.0,0.0,4.2,0.0,0.0
1998,Singapore,H2,Crest,3,0.0,0.0,4.2,6.5,43.1,0.0,46.1,0.0,0.0,0.0,0.0,0.1,0.0
1998,Singapore,H2,Crest,4,0.0,0.0,14.1,27.3,34.1,2.3,20.8,0.0,0.0,0.0,0.0,1.5,0.0
1998,Singapore,H2,Crest,5,0.0,0.0,6.5,38.0,33.1,7.2,12.2,0.0,0.4,0.8,0.0,2.1,0.0
1998,Singapore,HW2,Crest,1,0.0,0.4,30.1,25.4,25.9,8.1,9.2,0.0,0.0,0.0,0.0,1.0,0.0
1998,Singapore,HW2,Crest,2,0.0,1.1,26.3,36.4,16.7,11.8,4.2,0.0,0.0,0.0,0.0,3.0,0.7
1998,Singapore,HW2,Crest,3,0.3,2.6,33.6,30.8,13.6,10.4,6.2,0.0,2.1,0.0,0.0,0.5,0.0
1998,Singapore,HW2,Crest,4,0.0,0.0,19.4,30.5,9.2,1.2,38.7,0.0,0.6,0.0,0.0,0.5,0.0
1998,Singapore,HW2,Crest,5,0.0,0.0,31.9,45.9,6.4,0.4,13.6,0.0,0.0,0.0,0.5,1.5,0.0
1998,Singapore,S1,Crest,1,0.0,0.0,45.2,5.9,22.5,1.3,21.1,0.0,1.6,0.0,0.9,1.7,0.0
1998,Singapore,S1,Crest,2,0.0,0.0,21.2,6.4,9.4,0.0,59.0,0.0,2.9,0.0,0.0,1.2,0.0
1998,Singapore,S1,Crest,3,0.0,0.0,36.0,24.7,5.6,0.3,25.5,0.0,3.2,0.0,0.0,4.9,0.0
1998,Singapore,S1,Crest,4,0.0,0.0,41.3,9.6,7.4,1.6,39.2,0.0,0.0,0.0,0.0,1.0,0.0
1998,Singapore,S1,Crest,5,0.0,0.0,33.7,2.9,21.8,1.0,38.1,0.0,0.0,2.1,0.0,0.5,0.0
1998,Singapore,S2,Crest,1,0.1,0.0,15.9,44.2,19.8,1.7,10.1,0.0,0.0,0.0,6.4,1.9,0.0
1998,Singapore,S2,Crest,2,0.0,0.0,19.9,56.4,11.2,1.8,7.5,0.0,0.0,0.0,0.5,2.4,0.3
