"","sim","year","w","slope","intercept","y","scenario","sim_total","yr_mean","above_mean"
"1226",41,26,3.25093851218861,0,18.8687812513672,15.6178427391786,"Stable",41,31.7290013318459,0
"1227",41,27,0.57870545622756,0,18.8687812513672,18.2900757951396,"Stable",41,31.9847616379826,0
"1228",41,28,-2.51687369935138,0,18.8687812513672,21.3856549507186,"Stable",41,31.530508666158,0
"1229",41,29,-1.30159198014037,0,18.8687812513672,20.1703732315076,"Stable",41,31.5486864877245,0
"1230",41,30,1.52448368436371,0,18.8687812513672,17.3442975670035,"Stable",41,31.8466819784736,0
"1231",42,1,-0.801652633941053,0,25.672012171708,26.4736648056491,"Stable",42,32.0842185012449,0
"1232",42,2,2.61759112224285,0,25.672012171708,23.0544210494652,"Stable",42,31.4832711680668,0
"1233",42,3,-1.60277917550754,0,25.672012171708,27.2747913472156,"Stable",42,31.3616868060296,0
"1234",42,4,1.2603721392279,0,25.672012171708,24.4116400324801,"Stable",42,32.0495109836764,0
"1235",42,5,1.70808819897176,0,25.672012171708,23.9639239727363,"Stable",42,31.3525657026439,0
"1236",42,6,3.96864943966481,0,25.672012171708,21.7033627320432,"Stable",42,31.2564941949427,0
"1237",42,7,-0.450823543740217,0,25.672012171708,26.1228357154483,"Stable",42,31.8500199653883,0
"1238",42,8,-2.84480690732182,0,25.672012171708,28.5168190790299,"Stable",42,31.3958010720882,0
"1239",42,9,8.27313483121508,0,25.672012171708,17.398877340493,"Stable",42,32.4224721270917,0
"1240",42,10,1.70458139613786,0,25.672012171708,23.9674307755702,"Stable",42,31.5465679109786,0
"1241",42,11,1.1934047221285,0,25.672012171708,24.4786074495795,"Stable",42,32.080766685482,0
"1242",42,12,-0.110457517713424,0,25.672012171708,25.7824696894215,"Stable",42,31.671113610724,0
"1243",42,13,-1.15492562520636,0,25.672012171708,26.8269377969144,"Stable",42,32.2273782139961,0
"1244",42,14,4.73124088092477,0,25.672012171708,20.9407712907833,"Stable",42,31.1563238898745,0
"1245",42,15,1.37318750460744,0,25.672012171708,24.2988246671006,"Stable",42,31.9078244040366,0
"1246",42,16,4.07172099737168,0,25.672012171708,21.6002911743364,"Stable",42,31.556215684359,0
"1247",42,17,1.12622448185612,0,25.672012171708,24.5457876898519,"Stable",42,31.6441451950973,0
"1248",42,18,0.154424996412153,0,25.672012171708,25.5175871752959,"Stable",42,31.9758508691779,0
"1249",42,19,2.4198890428456,0,25.672012171708,23.2521231288624,"Stable",42,31.7840061018813,0
"1250",42,20,-0.082963390007663,0,25.672012171708,25.7549755617157,"Stable",42,32.237239192334,0
"1251",42,21,2.43954732299298,0,25.672012171708,23.2324648487151,"Stable",42,31.8684074293129,0
"1252",42,22,-0.956878549762671,0,25.672012171708,26.6288907214707,"Stable",42,31.8223361056448,0
"1253",42,23,3.56444991695387,0,25.672012171708,22.1075622547542,"Stable",42,31.6972658621526,0
"1254",42,24,-1.69491015859893,0,25.672012171708,27.366922330307,"Stable",42,31.4045344138022,0
"1255",42,25,2.31973780139554,0,25.672012171708,23.3522743703125,"Stable",42,32.1130306462067,0
"1256",42,26,1.1859013979308,0,25.672012171708,24.4861107737773,"Stable",42,31.7290013318459,0
"1257",42,27,-0.186019355837828,0,25.672012171708,25.8580315275459,"Stable",42,31.9847616379826,0
"1258",42,28,-2.99969003162296,0,25.672012171708,28.671702203331,"Stable",42,31.530508666158,0
"1259",42,29,-1.56861753912717,0,25.672012171708,27.2406297108352,"Stable",42,31.5486864877245,0
"1260",42,30,2.83833152407826,0,25.672012171708,22.8336806476298,"Stable",42,31.8466819784736,0
"1261",43,1,-0.333652313896298,0,5.76879831729457,6.10245063119087,"Stable",43,32.0842185012449,0
"1262",43,2,-0.805958615888248,0,5.76879831729457,6.57475693318282,"Stable",43,31.4832711680668,0
"1263",43,3,0.199385089421194,0,5.76879831729457,5.56941322787337,"Stable",43,31.3616868060296,0
"1264",43,4,0.410387690334097,0,5.76879831729457,5.35841062696047,"Stable",43,32.0495109836764,0
"1265",43,5,-0.796302368662513,0,5.76879831729457,6.56510068595708,"Stable",43,31.3525657026439,0
"1266",43,6,0.0381493814202338,0,5.76879831729457,5.73064893587433,"Stable",43,31.2564941949427,0
"1267",43,7,0.212410310789885,0,5.76879831729457,5.55638800650468,"Stable",43,31.8500199653883,0
"1268",43,8,-0.252355010282751,0,5.76879831729457,6.02115332757732,"Stable",43,31.3958010720882,0
"1269",43,9,-0.423007805889039,0,5.76879831729457,6.19180612318361,"Stable",43,32.4224721270917,0
"1270",43,10,-1.39831104030998,0,5.76879831729457,7.16710935760455,"Stable",43,31.5465679109786,0
"1271",43,11,0.617715767579766,0,5.76879831729457,5.1510825497148,"Stable",43,32.080766685482,0
"1272",43,12,0.877435942374097,0,5.76879831729457,4.89136237492047,"Stable",43,31.671113610724,0
"1273",43,13,1.18110710308616,0,5.76879831729457,4.58769121420841,"Stable",43,32.2273782139961,0
"1274",43,14,0.295065174539991,0,5.76879831729457,5.47373314275458,"Stable",43,31.1563238898745,0
"1275",43,15,-0.779533070050753,0,5.76879831729457,6.54833138734532,"Stable",43,31.9078244040366,0
"1276",43,16,1.44297809276098,0,5.76879831729457,4.32582022453359,"Stable",43,31.556215684359,0
"1277",43,17,-2.45040997170261,0,5.76879831729457,8.21920828899718,"Stable",43,31.6441451950973,0
"1278",43,18,0.265460420728994,0,5.76879831729457,5.50333789656557,"Stable",43,31.9758508691779,0
"1279",43,19,-0.0451061650813998,0,5.76879831729457,5.81390448237597,"Stable",43,31.7840061018813,0
"1280",43,20,0.190870114772818,0,5.76879831729457,5.57792820252175,"Stable",43,32.237239192334,0
"1281",43,21,0.709313600707245,0,5.76879831729457,5.05948471658732,"Stable",43,31.8684074293129,0
"1282",43,22,-1.18855571947149,0,5.76879831729457,6.95735403676605,"Stable",43,31.8223361056448,0
"1283",43,23,-0.483064146633791,0,5.76879831729457,6.25186246392836,"Stable",43,31.6972658621526,0
"1284",43,24,0.898257224661308,0,5.76879831729457,4.87054109263326,"Stable",43,31.4045344138022,0
"1285",43,25,0.695136100717111,0,5.76879831729457,5.07366221657746,"Stable",43,32.1130306462067,0
"1286",43,26,0.25207471759636,0,5.76879831729457,5.51672359969821,"Stable",43,31.7290013318459,0
"1287",43,27,-0.995503270057116,0,5.76879831729457,6.76430158735168,"Stable",43,31.9847616379826,0
"1288",43,28,0.244895307978545,0,5.76879831729457,5.52390300931602,"Stable",43,31.530508666158,0
"1289",43,29,-0.220407776600007,0,5.76879831729457,5.98920609389458,"Stable",43,31.5486864877245,0
"1290",43,30,0.450019912843502,0,5.76879831729457,5.31877840445107,"Stable",43,31.8466819784736,0
"1291",44,1,2.19074217743862,0,37.8301825991366,35.639440421698,"Stable",44,32.0842185012449,1
"1292",44,2,5.5411135623949,0,37.8301825991366,32.2890690367417,"Stable",44,31.4832711680668,1
"1293",44,3,-5.76528155201665,0,37.8301825991366,43.5954641511533,"Stable",44,31.3616868060296,1
